idx,R_oos,var_05,var_01,breach_05,breach_01
482,0.90548,-2.21949,-3.64342,0,0
483,-0.94230,-2.15960,-3.53870,0,0
484,0.11329,-2.19598,-3.54681,0,0
485,0.62146,-1.99034,-3.28426,0,0
486,0.59754,-1.89412,-3.14159,0,0
487,-1.63694,-1.81408,-3.01790,0,0
488,-0.49101,-2.26445,-3.56197,0,0
489,-1.05614,-2.11346,-3.36075,0,0
490,-1.72203,-2.15361,-3.41015,0,0
491,1.50043,-2.39577,-3.76549,0,0
492,0.85029,-2.39911,-3.76492,0,0
493,1.61571,-2.26398,-3.55911,0,0
494,0.94067,-2.34830,-3.69225,0,0
495,1.02950,-2.23858,-3.52669,0,0
496,0.18402,-2.17128,-3.43380,0,0
497,-0.98535,-1.98362,-3.17802,0,0
498,-0.06345,-2.02045,-3.23429,0,0
499,-1.29645,-1.84588,-2.99444,0,0
500,-0.30466,-2.03724,-3.27587,0,0
501,1.76989,-1.88715,-3.05176,0,0
502,1.03939,-2.14462,-3.46947,0,0
503,0.26576,-2.07589,-3.33881,0,0
504,-0.81251,-1.90537,-3.07713,0,0
505,1.57632,-1.89378,-3.06816,0,0
506,0.32457,-2.06571,-3.35464,0,0
507,-0.43026,-1.89836,-3.07598,0,0
508,-1.73019,-1.78940,-2.92015,0,0
509,1.78197,-2.12932,-3.51410,0,0
510,-0.42560,-2.24190,-3.69205,0,0
511,-4.66770,-2.06733,-3.34072,1,1
512,1.48075,-4.64087,-7.14302,0,0
513,2.10052,-3.75495,-6.11725,0,0
514,-0.01397,-3.43661,-5.54466,0,0
515,1.34979,-2.94285,-4.64344,0,0
516,0.97106,-2.81630,-4.37450,0,0
517,0.04831,-2.63739,-4.09565,0,0
518,-1.79154,-2.35591,-3.73173,0,0
519,0.17867,-2.66552,-4.10767,0,0
520,1.44358,-2.42314,-3.77903,0,0
521,-2.27726,-2.47278,-3.83739,0,0
522,-0.93121,-2.77300,-4.31061,0,0
523,-2.74086,-2.62399,-4.06170,1,0
524,3.38510,-3.01342,-4.71306,0,0
525,2.10708,-3.45440,-5.43194,0,0
526,-0.13868,-3.34136,-5.16491,0,0
527,-0.37746,-2.98948,-4.59843,0,0
528,-2.69026,-2.70424,-4.20570,0,0
529,-0.91516,-3.17340,-4.83646,0,0
530,-0.56831,-2.97413,-4.52919,0,0
531,1.96818,-2.75040,-4.22573,0,0
532,-1.08540,-2.88901,-4.39606,0,0
533,1.42183,-2.78120,-4.24519,0,0
534,-1.87340,-2.73175,-4.17633,0,0
535,1.45328,-2.84977,-4.34914,0,0
536,2.21141,-2.77436,-4.23946,0,0
