t,chmm_n,chmm_t_pen,chmm_l,chmm_ged,chmm_t_shared_nu
516,0.383047,0.370221,0.356691,0.353357,0.355808
517,1.197160,1.218505,1.264990,1.276450,1.317152
518,0.375694,0.361329,0.345308,0.349546,0.378315
519,0.781358,0.766481,0.826001,0.764461,0.781325
520,1.597044,1.642051,1.596160,1.672171,1.670503
521,0.700087,0.697657,0.718566,0.671543,0.766252
522,2.023174,1.985473,1.997933,1.998310,1.936661
523,2.335910,2.315583,2.420233,2.279648,2.344230
524,1.217426,1.192186,1.280935,1.292520,1.230612
525,0.395096,0.391890,0.401466,0.419365,0.406487
526,0.442877,0.455988,0.467169,0.445371,0.455408
527,1.872333,2.000774,1.951409,1.965203,1.934169
528,0.717667,0.658968,0.736356,0.738243,0.680090
529,0.523867,0.500523,0.568164,0.526945,0.571965
530,1.161497,1.161517,1.129325,1.114342,1.128646
531,0.805103,0.842251,0.758084,0.767804,0.820799
532,0.776973,0.784579,0.806034,0.879325,0.759494
533,1.260313,1.262482,1.306292,1.327122,1.427479
534,0.794626,0.815796,0.842989,0.798558,0.761260
535,1.253333,1.280816,1.270557,1.388689,1.234343
536,1.107943,1.110349,1.148482,1.022533,1.052346
537,0.880715,0.840981,0.917458,0.899097,0.904852
538,0.387901,0.391209,0.346178,0.377795,0.381781
539,2.570117,2.463567,2.576358,2.605166,2.531157
540,2.209237,2.194776,2.319761,2.283498,2.205716
541,1.427777,1.430476,1.441308,1.550905,1.440710
542,1.811523,1.768811,1.741932,1.839452,1.870553
543,0.734334,0.790398,0.715747,0.724026,0.718232
544,2.166268,2.102985,2.094315,2.159130,2.086237
545,0.826993,0.854483,0.873754,0.869803,0.813113
546,2.062485,2.066916,2.074538,2.103950,1.970201
547,1.004145,0.968854,0.966471,0.959492,0.920248
548,0.970876,0.974736,1.013016,0.941254,0.944085
549,0.466370,0.561151,0.539176,0.485585,0.524788
550,1.820853,1.879486,1.792923,1.719228,1.813853
551,1.903675,1.824528,1.812886,1.723579,1.799803
552,2.516183,2.669580,2.608413,2.523582,2.525502
553,2.246943,2.272520,2.265895,2.298478,2.306261
554,1.086704,1.076519,1.040774,1.095818,1.153611
555,0.682264,0.715618,0.752154,0.739934,0.631164
556,2.408148,2.411943,2.428574,2.445440,2.495549
557,3.668205,3.596080,3.706547,3.572323,3.730265
558,0.843686,0.879782,0.888433,0.881037,0.868259
559,3.480919,3.471720,3.448406,3.500709,3.526347
560,2.512396,2.642349,2.637038,2.633557,2.746191
561,0.813572,0.812525,0.861699,0.829678,0.862507
562,1.216446,1.127391,1.171583,1.239256,1.128762
563,0.617611,0.647004,0.668471,0.616225,0.638659
564,6.110588,6.101687,6.023951,6.030524,6.134331
565,0.708635,0.706721,0.678378,0.717052,0.698078
566,0.448715,0.436719,0.436481,0.457070,0.435124
567,0.566706,0.607642,0.662584,0.618967,0.580353
568,2.570758,2.434516,2.505838,2.414711,2.427998
569,1.153294,1.215487,1.211350,1.245458,1.205152
570,0.552710,0.587403,0.554911,0.555002,0.581180
571,2.195487,2.124405,2.098594,2.065283,2.129455
572,0.559624,0.537999,0.525262,0.549777,0.547391
